Load
Number of Bus,Name of Bus,Area Name of Load,Zone Name of Load,ID,Status,MW,Mvar,MVA,S MW,S Mvar,Dist Status,Dist MW Input,Dist Mvar Input
5273,COPPELL 0,North Central,1,1,Closed,116.00,32.87,120.56,116.00,32.87,Closed,0.00,0.00
6232,DEL VALLE 0,South Central,1,1,Closed,115.69,65.93,133.16,115.69,65.93,Closed,0.00,0.00
7132,LAPORTE 2,Coast,1,1,Closed,115.16,20.61,116.99,115.16,20.61,Closed,0.00,0.00
7345,HOUSTON 19 0,Coast,1,1,Closed,114.99,20.79,116.85,114.99,20.79,Closed,0.00,0.00
7395,HOUSTON 53 0,Coast,1,1,Closed,114.29,65.88,131.92,114.29,65.88,Closed,0.00,0.00
1102,IND W TWFV 3_115,Far West,1,3,Closed,114.01,45.73,122.84,114.01,45.73,Closed,0.00,0.00
4042,SAN JUAN 1,South,1,2,Closed,114.01,32.30,118.50,114.01,32.30,Closed,0.00,0.00
5003,GARLAND 5 0,North Central,1,1,Closed,113.64,40.82,120.75,113.64,40.82,Closed,0.00,0.00
3002,KERRVILLE 1,West,1,1,Closed,112.86,31.98,117.30,112.86,31.98,Closed,0.00,0.00
1045,MIDLAND 5 0,Far West,1,1,Closed,112.79,63.27,129.33,112.79,63.27,Closed,0.00,0.00
7318,HOUSTON 17 0,Coast,1,1,Closed,112.16,31.78,116.58,112.16,31.78,Closed,0.00,0.00
7265,PASADENA 3 2,Coast,1,1,Closed,111.94,20.72,113.84,111.94,20.72,Closed,0.00,0.00
7100,HOUSTON 18 0,Coast,1,1,Closed,111.61,17.61,112.99,111.61,17.61,Closed,0.00,0.00
7225,HOUSTON 81 0,Coast,1,1,Closed,111.44,31.57,115.82,111.44,31.57,Closed,0.00,0.00
7143,NEW CANEY 0,Coast,1,1,Closed,111.24,16.99,112.53,111.24,16.99,Closed,0.00,0.00
6060,SAN ANTONIO 24 0,South Central,1,1,Closed,111.17,21.12,113.16,111.17,21.12,Closed,0.00,0.00
1121,IND W TWFV 13_230,Far West,1,1,Closed,111.09,8.39,111.41,111.09,8.39,Closed,0.00,0.00
4109,CORPUS CHRISTI 11 0,South,1,1,Closed,110.86,86.19,140.42,110.86,86.19,Closed,0.00,0.00
6307,SAN ANTONIO 39 0,South Central,1,1,Closed,110.79,15.48,111.86,110.79,15.48,Closed,0.00,0.00
6275,SAN ANTONIO 20 0,South Central,1,1,Closed,110.59,31.34,114.95,110.59,31.34,Closed,0.00,0.00
7016,HOUSTON 9 0,Coast,1,1,Closed,110.29,67.52,129.32,110.29,67.52,Closed,0.00,0.00
7313,LAKE JACKSON 1,Coast,1,1,Closed,110.28,24.43,112.95,110.28,24.43,Closed,0.00,0.00
1110,IND W TWFV 7_115,Far West,1,3,Closed,110.09,45.17,119.00,110.09,45.17,Closed,0.00,0.00
1128,IND W TWFV 16_115,Far West,1,3,Closed,109.99,55.68,123.28,109.99,55.68,Closed,0.00,0.00
7027,SPRING 1 0,Coast,1,1,Closed,109.22,30.95,113.52,109.22,30.95,Closed,0.00,0.00
7338,HOUSTON 21 0,Coast,1,1,Closed,109.20,37.14,115.34,109.20,37.14,Closed,0.00,0.00
7093,HOUSTON 79 0,Coast,1,1,Closed,109.15,30.93,113.45,109.15,30.93,Closed,0.00,0.00
5400,MCKINNEY 2 0,North Central,1,1,Closed,108.27,36.77,114.34,108.27,36.77,Closed,0.00,0.00
6159,SCHERTZ 0,South Central,1,1,Closed,108.26,25.79,111.29,108.26,25.79,Closed,0.00,0.00
5147,PLANO 6 0,North Central,1,1,Closed,108.12,30.63,112.37,108.12,30.63,Closed,0.00,0.00
4156,CORPUS CHRISTI 6 0,South,1,1,Closed,108.01,30.60,112.26,108.01,30.60,Closed,0.00,0.00
6153,SAN ANTONIO 22 1,South Central,1,1,Closed,107.97,49.21,118.66,107.97,49.21,Closed,0.00,0.00
7336,STAFFORD 0,Coast,1,1,Closed,107.69,30.51,111.93,107.69,30.51,Closed,0.00,0.00
7240,HOUSTON 63 0,Coast,1,1,Closed,107.69,79.81,134.04,107.69,79.81,Closed,0.00,0.00
5370,LEWISVILLE 2 0,North Central,1,1,Closed,107.41,30.03,111.53,107.41,30.03,Closed,0.00,0.00
7419,LA PORTE 0,Coast,1,1,Closed,107.00,-4.60,107.10,107.00,-4.60,Closed,0.00,0.00
7256,HOUSTON 59 0,Coast,1,1,Closed,106.74,24.61,109.54,106.74,24.61,Closed,0.00,0.00
7052,MISSOURI CITY 1 0,Coast,1,1,Closed,106.66,30.22,110.86,106.66,30.22,Closed,0.00,0.00
5429,FORT WORTH 18 0,North Central,1,1,Closed,106.17,30.08,110.35,106.17,30.08,Closed,0.00,0.00
1115,IND W TWFV 10_230,Far West,1,1,Closed,106.01,55.26,119.54,106.01,55.26,Closed,0.00,0.00
7087,SUGAR LAND 1 0,Coast,1,1,Closed,105.79,21.03,107.86,105.79,21.03,Closed,0.00,0.00
7397,ROSENBERG 0,Coast,1,1,Closed,105.72,42.56,113.97,105.72,42.56,Closed,0.00,0.00
5402,GRANBURY 2 1,North Central,1,1,Closed,105.72,18.69,107.36,105.72,18.69,Closed,0.00,0.00
6097,SAN ANTONIO 21 0,South Central,1,1,Closed,105.36,29.85,109.51,105.36,29.85,Closed,0.00,0.00
7292,HOUSTON 69 0,Coast,1,1,Closed,104.90,-12.47,105.64,104.90,-12.47,Closed,0.00,0.00
7215,SPRING 5 0,Coast,1,1,Closed,104.88,70.27,126.24,104.88,70.27,Closed,0.00,0.00
5072,DALLAS 19 0,North Central,1,1,Closed,104.72,20.50,106.70,104.72,20.50,Closed,0.00,0.00
1132,IND W TWFV 18_115,Far West,1,3,Closed,104.68,16.73,106.00,104.68,16.73,Closed,0.00,0.00
4157,MISSION 2 0,South,1,1,Closed,104.67,80.03,131.76,104.67,80.03,Closed,0.00,0.00
5026,FORT WORTH 14 0,North Central,1,1,Closed,104.38,20.15,106.30,104.38,20.15,Closed,0.00,0.00
6001,CONVERSE 0,South Central,1,1,Closed,103.81,29.41,107.90,103.81,29.41,Closed,0.00,0.00
7144,HOUSTON 14 0,Coast,1,1,Closed,103.68,27.68,107.31,103.68,27.68,Closed,0.00,0.00
7298,HOUSTON 62 0,Coast,1,1,Closed,103.65,28.68,107.54,103.65,28.68,Closed,0.00,0.00
1111,IND W TWFV 8_230,Far West,1,1,Closed,103.36,55.26,117.20,103.36,55.26,Closed,0.00,0.00
2065,GAINESVILLE 0,North,1,1,Closed,103.15,22.20,105.52,103.15,22.20,Closed,0.00,0.00
8019,TYLER 4 1,East,1,1,Closed,103.12,29.22,107.18,103.12,29.22,Closed,0.00,0.00
7248,HOUSTON 74 0,Coast,1,1,Closed,102.90,41.06,110.79,102.90,41.06,Closed,0.00,0.00
5132,BELTON 1,North Central,1,1,Closed,102.52,29.05,106.55,102.52,29.05,Closed,0.00,0.00
5103,RICHARDSON 2 1,North Central,1,2,Closed,102.47,29.03,106.50,102.47,29.03,Closed,0.00,0.00
4111,HARLINGEN 2 0,South,1,2,Closed,102.33,28.99,106.36,102.33,28.99,Closed,0.00,0.00
5296,MCKINNEY 1 1,North Central,1,1,Closed,102.32,28.99,106.35,102.32,28.99,Closed,0.00,0.00
1037,ODESSA 5 0,Far West,1,1,Closed,102.24,28.97,106.26,102.24,28.97,Closed,0.00,0.00
5082,ARLINGTON 5 0,North Central,1,1,Closed,102.22,28.96,106.24,102.22,28.96,Closed,0.00,0.00
5214,DALLAS 32 0,North Central,1,1,Closed,102.10,41.15,110.08,102.10,41.15,Closed,0.00,0.00
8005,LUFKIN 3 1,East,1,1,Closed,102.01,28.90,106.03,102.01,28.90,Closed,0.00,0.00
7054,HOUSTON 11 0,Coast,1,1,Closed,101.99,26.31,105.32,101.99,26.31,Closed,0.00,0.00
5354,MESQUITE 1 0,North Central,1,1,Closed,101.88,22.02,104.24,101.88,22.02,Closed,0.00,0.00
5309,DALLAS 10 0,North Central,1,1,Closed,101.75,28.01,105.54,101.75,28.01,Closed,0.00,0.00
1067,BIG SPRING 7 0,Far West,1,1,Closed,101.55,28.77,105.55,101.55,28.77,Closed,0.00,0.00
7344,HOUSTON 37 0,Coast,1,1,Closed,101.41,28.73,105.40,101.41,28.73,Closed,0.00,0.00
1131,IND W TWFV 18_230,Far West,1,1,Closed,101.24,23.80,104.00,101.24,23.80,Closed,0.00,0.00
4042,SAN JUAN 1,South,1,1,Closed,101.17,28.66,105.15,101.17,28.66,Closed,0.00,0.00
7069,EL CAMPO 1,Coast,1,1,Closed,101.16,-4.81,101.28,101.16,-4.81,Closed,0.00,0.00
7070,HOUSTON 12 0,Coast,1,1,Closed,101.03,28.63,105.01,101.03,28.63,Closed,0.00,0.00
1127,IND W TWFV 16_230,Far West,1,2,Closed,100.95,0.00,100.95,100.95,0.00,Closed,0.00,0.00
1027,MIDLAND 2 0,Far West,1,2,Closed,100.61,9.46,101.05,100.61,9.46,Closed,0.00,0.00
6156,MARBLE FALLS 3 0,South Central,1,1,Closed,100.36,14.92,101.46,100.36,14.92,Closed,0.00,0.00
5443,FORT WORTH 11 0,North Central,1,1,Closed,100.31,14.83,101.41,100.31,14.83,Closed,0.00,0.00
7276,HOUSTON 36 0,Coast,1,1,Closed,100.13,25.12,103.24,100.13,25.12,Closed,0.00,0.00
5232,ARLINGTON 7 0,North Central,1,1,Closed,99.80,14.16,100.80,99.80,14.16,Closed,0.00,0.00
5373,HALTOM CITY 0,North Central,1,1,Closed,99.29,26.05,102.65,99.29,26.05,Closed,0.00,0.00
7245,HOUSTON 54 0,Coast,1,1,Closed,98.79,27.99,102.68,98.79,27.99,Closed,0.00,0.00
4007,MCALLEN 2 0,South,1,1,Closed,98.79,52.04,111.66,98.79,52.04,Closed,0.00,0.00
5233,EULESS 1 0,North Central,1,1,Closed,98.77,27.99,102.66,98.77,27.99,Closed,0.00,0.00
6128,SAN ANTONIO 35 0,South Central,1,1,Closed,98.66,14.96,99.79,98.66,14.96,Closed,0.00,0.00
5336,ROWLETT 1 0,North Central,1,1,Closed,98.28,-11.95,99.01,98.28,-11.95,Closed,0.00,0.00
7381,HOUSTON 15 0,Coast,1,2,Closed,97.95,63.33,116.64,97.95,63.33,Closed,0.00,0.00
4019,MERCEDES 0,South,1,2,Closed,97.58,39.63,105.31,97.58,39.63,Closed,0.00,0.00
3130,SAN ANGELO 3 0,West,1,4,Closed,97.24,23.77,100.10,97.24,23.77,Closed,0.00,0.00
5425,DALLAS 40 0,North Central,1,3,Closed,96.84,14.60,97.94,96.84,14.60,Closed,0.00,0.00
7198,TOMBALL 2 0,Coast,1,1,Closed,96.34,24.40,99.38,96.34,24.40,Closed,0.00,0.00
6182,SAN ANTONIO 38 0,South Central,1,1,Closed,95.83,27.15,99.60,95.83,27.15,Closed,0.00,0.00
6174,SAN ANTONIO 10 0,South Central,1,1,Closed,95.75,66.31,116.47,95.75,66.31,Closed,0.00,0.00
5344,DALLAS 36 0,North Central,1,1,Closed,94.71,26.84,98.44,94.71,26.84,Closed,0.00,0.00
6013,SAN ANTONIO 42 0,South Central,1,2,Closed,94.19,26.69,97.89,94.19,26.69,Closed,0.00,0.00
5482,DALLAS 23 0,North Central,1,1,Closed,93.93,19.60,95.95,93.93,19.60,Closed,0.00,0.00
6208,AUSTIN 15 0,South Central,1,2,Closed,93.91,17.25,95.48,93.91,17.25,Closed,0.00,0.00
7041,DAYTON 1,Coast,1,1,Closed,93.88,26.60,97.58,93.88,26.60,Closed,0.00,0.00
7154,CONROE 4 0,Coast,1,1,Closed,93.78,16.60,95.24,93.78,16.60,Closed,0.00,0.00
7297,HOUSTON 50 0,Coast,1,1,Closed,93.77,26.57,97.46,93.77,26.57,Closed,0.00,0.00
6218,LOCKHART 0,South Central,1,1,Closed,93.48,14.52,94.61,93.48,14.52,Closed,0.00,0.00
7172,TEXAS CITY 1 1,Coast,1,1,Closed,92.96,40.60,101.44,92.96,40.60,Closed,0.00,0.00
6064,BRENHAM 2,South Central,1,1,Closed,92.79,11.85,93.54,92.79,11.85,Closed,0.00,0.00
1119,IND W TWFV 12_230,Far West,1,2,Closed,92.77,0.00,92.77,92.77,0.00,Closed,0.00,0.00
4013,EDINBURG 2 0,South,1,1,Closed,92.35,20.03,94.50,92.35,20.03,Closed,0.00,0.00
6250,SAN ANTONIO 6 0,South Central,1,1,Closed,92.30,24.43,95.48,92.30,24.43,Closed,0.00,0.00
7106,DEER PARK 2,Coast,1,1,Closed,92.07,26.09,95.69,92.07,26.09,Closed,0.00,0.00
5086,ARLINGTON 9 0,North Central,1,1,Closed,92.04,9.19,92.50,92.04,9.19,Closed,0.00,0.00
1129,IND W TWFV 17_230,Far West,1,1,Closed,91.71,55.66,107.27,91.71,55.66,Closed,0.00,0.00
7404,HOUSTON 57 0,Coast,1,1,Closed,91.68,40.25,100.12,91.68,40.25,Closed,0.00,0.00
5228,DALLAS 14 0,North Central,1,1,Closed,91.66,13.96,92.72,91.66,13.96,Closed,0.00,0.00
1125,IND W TWFV 15_230,Far West,1,1,Closed,91.55,58.43,108.61,91.55,58.43,Closed,0.00,0.00
7408,POINT COMFORT 1 2,Coast,1,1,Closed,91.48,-12.41,92.32,91.48,-12.41,Closed,0.00,0.00
1071,ODESSA 1 0,Far West,1,1,Closed,91.46,25.91,95.06,91.46,25.91,Closed,0.00,0.00
7180,HOUSTON 48 0,Coast,1,1,Closed,91.45,-16.69,92.96,91.45,-16.69,Closed,0.00,0.00
1125,IND W TWFV 15_230,Far West,1,2,Closed,91.43,0.00,91.43,91.43,0.00,Closed,0.00,0.00
4032,KINGSVILLE 0,South,1,1,Closed,91.39,4.08,91.48,91.39,4.08,Closed,0.00,0.00
5221,KILLEEN 1 0,North Central,1,1,Closed,91.29,18.92,93.23,91.29,18.92,Closed,0.00,0.00
5070,DALLAS 41 0,North Central,1,1,Closed,91.05,37.87,98.61,91.05,37.87,Closed,0.00,0.00
7253,ANGLETON 1,Coast,1,1,Closed,90.93,25.76,94.51,90.93,25.76,Closed,0.00,0.00
1114,IND W TWFV 9_115,Far West,1,3,Closed,90.83,49.49,103.44,90.83,49.49,Closed,0.00,0.00
8160,BRYAN 1 2,East,1,1,Closed,90.76,25.71,94.33,90.76,25.71,Closed,0.00,0.00
5146,ROWLETT 2 0,North Central,1,1,Closed,90.75,25.71,94.33,90.75,25.71,Closed,0.00,0.00
2055,WICHITA FALLS 1 1,North,1,1,Closed,90.64,1.75,90.66,90.64,1.75,Closed,0.00,0.00
5483,NORTH RICHLAND HILLS 1 0,North Central,1,1,Closed,90.54,0.07,90.54,90.54,0.07,Closed,0.00,0.00
5128,DALLAS 33 0,North Central,1,1,Closed,90.51,-16.49,92.00,90.51,-16.49,Closed,0.00,0.00
4123,CORPUS CHRISTI 7 0,South,1,1,Closed,90.50,25.64,94.06,90.50,25.64,Closed,0.00,0.00
5014,DECATUR 0,North Central,1,1,Closed,90.18,13.25,91.15,90.18,13.25,Closed,0.00,0.00
5081,FORT HOOD 0,North Central,1,1,Closed,89.83,3.02,89.88,89.83,3.02,Closed,0.00,0.00
6123,AUSTIN 5 0,South Central,1,1,Closed,89.57,12.78,90.48,89.57,12.78,Closed,0.00,0.00
4017,CORPUS CHRISTI 4 0,South,1,1,Closed,89.56,25.38,93.09,89.56,25.38,Closed,0.00,0.00
6312,SAN ANTONIO 8 0,South Central,1,1,Closed,88.02,40.89,97.06,88.02,40.89,Closed,0.00,0.00
1099,IND W TWFV 2_230,Far West,1,2,Closed,87.91,58.32,105.49,87.91,58.32,Closed,0.00,0.00
1099,IND W TWFV 2_230,Far West,1,1,Closed,87.77,27.22,91.89,87.77,27.22,Closed,0.00,0.00
4127,ALICE 0,South,1,1,Closed,87.29,24.73,90.72,87.29,24.73,Closed,0.00,0.00
5104,FORT WORTH 8 0,North Central,1,1,Closed,87.12,21.61,89.76,87.12,21.61,Closed,0.00,0.00
8111,LUFKIN 2 0,East,1,1,Closed,87.11,24.68,90.54,87.11,24.68,Closed,0.00,0.00
6171,SAN ANTONIO 52 2,South Central,1,2,Closed,87.02,24.66,90.45,87.02,24.66,Closed,0.00,0.00
7222,HOUSTON 24 0,Coast,1,1,Closed,86.99,35.00,93.77,86.99,35.00,Closed,0.00,0.00
5454,GREENVILLE 2 0,North Central,1,1,Closed,86.97,13.53,88.02,86.97,13.53,Closed,0.00,0.00
5269,MIDLOTHIAN 2 0,North Central,1,1,Closed,86.96,24.64,90.38,86.96,24.64,Closed,0.00,0.00
1113,IND W TWFV 9_230,Far West,1,1,Closed,86.41,34.59,93.08,86.41,34.59,Closed,0.00,0.00
1121,IND W TWFV 13_230,Far West,1,2,Closed,86.41,0.00,86.41,86.41,0.00,Closed,0.00,0.00
7272,HOUSTON 25 0,Coast,1,1,Closed,86.40,-13.62,87.47,86.40,-13.62,Closed,0.00,0.00
5139,DALLAS 42 0,North Central,1,1,Closed,86.38,5.09,86.53,86.38,5.09,Closed,0.00,0.00
5278,TEMPLE 2 0,North Central,1,1,Closed,86.25,-16.01,87.73,86.25,-16.01,Closed,0.00,0.00
7404,HOUSTON 57 0,Coast,1,2,Closed,86.05,24.38,89.44,86.05,24.38,Closed,0.00,0.00
6281,UNIVERSAL CITY 0,South Central,1,1,Closed,85.79,-7.89,86.16,85.79,-7.89,Closed,0.00,0.00
7383,ROSHARON 0,Coast,1,1,Closed,85.59,39.53,94.28,85.59,39.53,Closed,0.00,0.00
1129,IND W TWFV 17_230,Far West,1,2,Closed,85.53,-10.55,86.18,85.53,-10.55,Closed,0.00,0.00
7381,HOUSTON 15 0,Coast,1,1,Closed,85.51,12.56,86.42,85.51,12.56,Closed,0.00,0.00
5428,HURST 0,North Central,1,1,Closed,85.26,24.16,88.62,85.26,24.16,Closed,0.00,0.00
6225,SAN ANTONIO 27 0,South Central,1,1,Closed,85.25,60.27,104.40,85.25,60.27,Closed,0.00,0.00
5332,FORT WORTH 16 0,North Central,1,1,Closed,85.12,24.12,88.47,85.12,24.12,Closed,0.00,0.00
6024,AUSTIN 10 0,South Central,1,1,Closed,84.99,18.69,87.02,84.99,18.69,Closed,0.00,0.00
8106,MOUNT PLEASANT 2 1,East,1,5,Closed,84.88,25.68,88.68,84.88,25.68,Closed,0.00,0.00
5431,ROCKWALL 2 0,North Central,1,1,Closed,84.43,66.95,107.76,84.43,66.95,Closed,0.00,0.00
5180,CORSICANA 2 1,North Central,1,2,Closed,84.40,43.82,95.09,84.40,43.82,Closed,0.00,0.00
5292,FORT WORTH 27 0,North Central,1,1,Closed,84.14,42.48,94.25,84.14,42.48,Closed,0.00,0.00
4078,CORPUS CHRISTI 8 0,South,1,1,Closed,84.07,23.82,87.38,84.07,23.82,Closed,0.00,0.00
5078,AUBREY 0,North Central,1,1,Closed,84.07,18.82,86.15,84.07,18.82,Closed,0.00,0.00
7117,HOUSTON 67 0,Coast,1,1,Closed,84.03,23.81,87.33,84.03,23.81,Closed,0.00,0.00
7214,HOUSTON 27 0,Coast,1,1,Closed,83.89,23.77,87.20,83.89,23.77,Closed,0.00,0.00
5148,IRVING 5 0,North Central,1,1,Closed,83.41,23.63,86.69,83.41,23.63,Closed,0.00,0.00
1093,IND W TWFV 0_230,Far West,1,1,Closed,82.80,27.79,87.34,82.80,27.79,Closed,0.00,0.00
4038,BEEVILLE 0,South,1,1,Closed,82.78,23.45,86.04,82.78,23.45,Closed,0.00,0.00
6286,BOERNE 2 1,South Central,1,1,Closed,82.67,23.42,85.93,82.67,23.42,Closed,0.00,0.00
5097,EULESS 2 0,North Central,1,1,Closed,82.57,42.23,92.74,82.57,42.23,Closed,0.00,0.00
7155,HOUSTON 52 0,Coast,1,1,Closed,82.45,40.46,91.85,82.45,40.46,Closed,0.00,0.00
2063,DENISON 2 0,North,1,1,Closed,82.36,18.59,84.43,82.36,18.59,Closed,0.00,0.00
1133,IND W TWFV 19_230,Far West,1,2,Closed,82.25,23.44,85.52,82.25,23.44,Closed,0.00,0.00
5050,GREENVILLE 1 1,North Central,1,1,Closed,81.69,18.57,83.77,81.69,18.57,Closed,0.00,0.00
1096,IND W TWFV 1_230,Far West,1,1,Closed,81.54,47.95,94.59,81.54,47.95,Closed,0.00,0.00
6331,AUSTIN 22 0,South Central,1,1,Closed,81.32,58.45,100.15,81.32,58.45,Closed,0.00,0.00
8135,TYLER 6 0,East,1,1,Closed,81.21,41.32,91.12,81.21,41.32,Closed,0.00,0.00
1116,IND W TWFV 10_115,Far West,1,3,Closed,81.15,55.04,98.05,81.15,55.04,Closed,0.00,0.00
1124,IND W TWFV 14_115,Far West,1,3,Closed,81.10,19.25,83.35,81.10,19.25,Closed,0.00,0.00
7365,HOUSTON 20 0,Coast,1,1,Closed,80.97,-15.57,82.45,80.97,-15.57,Closed,0.00,0.00
5287,ARLINGTON 2 0,North Central,1,3,Closed,80.81,63.47,102.76,80.81,63.47,Closed,0.00,0.00
5252,DALLAS 22 0,North Central,1,1,Closed,80.80,22.89,83.98,80.80,22.89,Closed,0.00,0.00
6040,AUSTIN 3 2,South Central,1,1,Closed,80.78,23.09,84.02,80.78,23.09,Closed,0.00,0.00
5165,DENTON 1 1,North Central,1,1,Closed,80.57,15.73,82.09,80.57,15.73,Closed,0.00,0.00
3102,ABILENE 3 0,West,1,1,Closed,80.44,45.22,92.28,80.44,45.22,Closed,0.00,0.00
5338,GRANBURY 3 0,North Central,1,1,Closed,80.26,-5.23,80.43,80.26,-5.23,Closed,0.00,0.00
1068,MIDLAND 1 0,Far West,1,2,Closed,80.25,16.64,81.96,80.25,16.64,Closed,0.00,0.00
7242,HOUSTON 55 0,Coast,1,1,Closed,80.14,22.71,83.29,80.14,22.71,Closed,0.00,0.00
6208,AUSTIN 15 0,South Central,1,1,Closed,80.07,22.69,83.22,80.07,22.69,Closed,0.00,0.00
5381,ENNIS 1,North Central,1,1,Closed,79.80,0.10,79.80,79.80,0.10,Closed,0.00,0.00
5030,SPRINGTOWN 0,North Central,1,1,Closed,79.61,9.10,80.12,79.61,9.10,Closed,0.00,0.00
5457,COLLEYVILLE 0,North Central,1,1,Closed,79.60,19.34,81.91,79.60,19.34,Closed,0.00,0.00
7086,HOUSTON 16 0,Coast,1,1,Closed,79.59,23.47,82.98,79.59,23.47,Closed,0.00,0.00
8121,JACKSONVILLE 2 0,East,1,1,Closed,79.16,22.43,82.28,79.16,22.43,Closed,0.00,0.00
6233,AUSTIN 4 0,South Central,1,1,Closed,79.16,18.44,81.28,79.16,18.44,Closed,0.00,0.00
4035,CORPUS CHRISTI 18 0,South,1,1,Closed,79.16,22.43,82.28,79.16,22.43,Closed,0.00,0.00
5189,DALLAS 20 0,North Central,1,1,Closed,78.84,23.15,82.17,78.84,23.15,Closed,0.00,0.00
7243,CROSBY 0,Coast,1,1,Closed,78.71,22.30,81.81,78.71,22.30,Closed,0.00,0.00
6154,DRIPPING SPRINGS 0,South Central,1,1,Closed,78.35,12.21,79.30,78.35,12.21,Closed,0.00,0.00
7382,HOUSTON 31 0,Coast,1,1,Closed,78.13,22.14,81.20,78.13,22.14,Closed,0.00,0.00
6358,GEORGETOWN 1 0,South Central,1,1,Closed,77.99,14.56,79.34,77.99,14.56,Closed,0.00,0.00
5330,ARLINGTON 4 0,North Central,1,1,Closed,77.76,18.35,79.89,77.76,18.35,Closed,0.00,0.00
5310,FORT WORTH 4 0,North Central,1,1,Closed,77.66,31.37,83.76,77.66,31.37,Closed,0.00,0.00
5046,STEPHENVILLE 1,North Central,1,1,Closed,77.11,21.85,80.14,77.11,21.85,Closed,0.00,0.00
7028,HOUSTON 72 0,Coast,1,1,Closed,77.01,4.15,77.12,77.01,4.15,Closed,0.00,0.00
1103,IND W TWFV 4_230,Far West,1,1,Closed,76.93,-10.05,77.58,76.93,-10.05,Closed,0.00,0.00
6251,CANYON LAKE 0,South Central,1,2,Closed,76.85,13.83,78.09,76.85,13.83,Closed,0.00,0.00
7094,HOUSTON 49 0,Coast,1,1,Closed,76.69,21.73,79.71,76.69,21.73,Closed,0.00,0.00
5121,BROWNWOOD 1,North Central,1,1,Closed,76.66,-5.26,76.84,76.66,-5.26,Closed,0.00,0.00
6309,HONDO 1,South Central,1,1,Closed,76.64,11.65,77.52,76.64,11.65,Closed,0.00,0.00
7188,HOUSTON 4 2,Coast,1,1,Closed,76.58,21.70,79.60,76.58,21.70,Closed,0.00,0.00
1115,IND W TWFV 10_230,Far West,1,2,Closed,76.48,0.00,76.48,76.48,0.00,Closed,0.00,0.00
7340,SEALY 0,Coast,1,1,Closed,76.34,10.95,77.12,76.34,10.95,Closed,0.00,0.00
1101,IND W TWFV 3_230,Far West,1,1,Closed,76.11,52.27,92.33,76.11,52.27,Closed,0.00,0.00
7151,WILLIS 2 1,Coast,1,1,Closed,75.77,12.48,76.79,75.77,12.48,Closed,0.00,0.00
6005,BASTROP 2,South Central,1,1,Closed,75.48,21.39,78.45,75.48,21.39,Closed,0.00,0.00
7020,NURSERY 2,Coast,1,2,Closed,75.01,21.25,77.96,75.01,21.25,Closed,0.00,0.00
7147,HOUSTON 78 0,Coast,1,1,Closed,74.65,13.40,75.84,74.65,13.40,Closed,0.00,0.00
5025,CLEBURNE 2 0,North Central,1,1,Closed,74.46,-7.29,74.81,74.46,-7.29,Closed,0.00,0.00
5172,WEATHERFORD 1 0,North Central,1,1,Closed,74.24,23.52,77.88,74.24,23.52,Closed,0.00,0.00
5184,FORT WORTH 26 0,North Central,1,2,Closed,74.22,6.32,74.49,74.22,6.32,Closed,0.00,0.00
5027,FORT WORTH 23 0,North Central,1,1,Closed,74.13,5.09,74.30,74.13,5.09,Closed,0.00,0.00
4051,BISHOP 0,South,1,2,Closed,73.95,20.95,76.86,73.95,20.95,Closed,0.00,0.00
6289,AUSTIN 26 0,South Central,1,1,Closed,73.84,24.33,77.75,73.84,24.33,Closed,0.00,0.00
8032,SHIRO 2,East,1,3,Closed,73.49,20.82,76.39,73.49,20.82,Closed,0.00,0.00
5144,WACO 6 0,North Central,1,1,Closed,73.43,20.80,76.32,73.43,20.80,Closed,0.00,0.00
5031,PRINCETON 0,North Central,1,1,Closed,73.30,5.41,73.50,73.30,5.41,Closed,0.00,0.00
8038,SULPHUR SPRINGS 0,East,1,1,Closed,73.15,30.06,79.09,73.15,30.06,Closed,0.00,0.00
6332,HELOTES 0,South Central,1,1,Closed,73.00,38.47,82.52,73.00,38.47,Closed,0.00,0.00
6131,SPRING BRANCH 0,South Central,1,1,Closed,72.91,12.43,73.96,72.91,12.43,Closed,0.00,0.00
5436,DALLAS 18 0,North Central,1,1,Closed,72.89,37.60,82.01,72.89,37.60,Closed,0.00,0.00
3032,ABILENE 7 0,West,1,1,Closed,72.86,53.15,90.19,72.86,53.15,Closed,0.00,0.00
1118,IND W TWFV 11_115,Far West,1,3,Closed,72.53,20.79,75.45,72.53,20.79,Closed,0.00,0.00
7213,SANTA FE 1 0,Coast,1,2,Closed,72.27,11.67,73.20,72.27,11.67,Closed,0.00,0.00
7050,MAGNOLIA 2 0,Coast,1,1,Closed,72.03,48.74,86.97,72.03,48.74,Closed,0.00,0.00
7262,BAY CITY 1,Coast,1,1,Closed,72.03,20.41,74.86,72.03,20.41,Closed,0.00,0.00
2016,SHERMAN 3 0,North,1,1,Closed,71.93,26.49,76.65,71.93,26.49,Closed,0.00,0.00
7249,HOUSTON 26 0,Coast,1,1,Closed,71.82,20.35,74.65,71.82,20.35,Closed,0.00,0.00
7273,TEXAS CITY 2 0,Coast,1,1,Closed,71.74,11.16,72.60,71.74,11.16,Closed,0.00,0.00
1127,IND W TWFV 16_230,Far West,1,1,Closed,71.64,54.00,89.71,71.64,54.00,Closed,0.00,0.00
5446,HEWITT 0,North Central,1,1,Closed,71.26,11.52,72.19,71.26,11.52,Closed,0.00,0.00
